Time,Sunday 3.11.24,Monday 4.11.24,Tuesday 5.11.24,Wednesday 6.11.24,Thursday 7.11.24,,time,1,2,3,1,2,3,1,2,3,PD avr,PD+surf avr,LB avr,PDsd,PD+surf sd,LB sd
7:00,,,,t=34,,,0,0.109,0.108,0.106,0.108,0.12,0.111,0.096,0.094,0.095,0.107666667,0.113,0.095,0.001527525,0.006244998,0.001
8:00,,,,,,,8,0.277,0.304,0.265,0.11,0.109,0.109,0.098,0.097,0.091,0.282,0.109333333,0.095333333,0.019974984,0.00057735,0.003785939
9:00,,,,,,,16,0.589,0.574,0.516,0.485,0.477,0.333,0.097,0.096,0.096,0.559666667,0.431666667,0.096333333,0.038552994,0.085541413,0.00057735
10:00,,,,,,,20,0.939,0.756,0.683,0.734,0.832,0.564,0.097,0.095,0.093,0.792666667,0.71,0.095,0.131879996,0.13560236,0.002
11:00,,,,t=38,,,24,1.177,0.915,0.891,1.127,0.957,0.785,0.094,0.099,0.097,0.994333333,0.956333333,0.096666667,0.158648458,0.171000975,0.002516611
12:00,,Dilut PD combined tube 1:10 + preper 29 tubes 100µL ( 13 surf 32.5 µL surf + 67.5 LB+ 16 LB) ,,,,,28,1.176,0.967,0.969,1.265,1.016,0.935,0.096,0.097,0.097,1.037333333,1.072,0.096666667,0.12009302,0.17197965,0.00057735
13:00,,,t=16,,,,34,1.2,1.065,1.366,1.37,1.16,1.1,0.098,0.098,0.096,1.210333333,1.21,0.097333333,0.150765823,0.141774469,0.001154701
14:00,3 identical experiment starters (O.N) + NC,,,,,,38,1.181,1.423,1.316,1.276,1.217,1.519,0.098,0.095,0.095,1.306666667,1.337333333,0.096,0.121269672,0.160069776,0.001732051
15:00,,,,t=42,,,42,1.152,1.337,1.277,1.212,1.161,1.353,0.098,0.096,0.096,1.255333333,1.242,0.096666667,0.094383968,0.099453507,0.001154701
16:00,,,,,,,44,1.21,1.581,1.262,1.23,1.204,1.269,0.094,0.097,0.096,1.351,1.234333333,0.095666667,0.200875583,0.032715949,0.001527525
17:00,,START- PD tube --> OD = 0.1. +add 4500 µL PD to all tubes except NC,t=20 (take from extraction tubes),t=44 (take from extraction tubes),,,time,1,2,3,4,5,1,2,3,4,5,PD avr,PD+surf avr,,,
18:00,,,,,,,20,0.508,0.412,0.537,0.525,0.478,0.418,0.432,0.389,0.383,0.457,0.492,0.4158,,,
19:00,,,,,,,44,1.01,0.992,1.402,1.388,0.901,1.386,0.904,1.023,1.521,0.901,1.1386,1.147,,,
20:00,,,,,,,,,,,,,,,,,,,,,,
21:00,, t=0,t=24,,,,,,,,,,,,,,,,,,,
22:00,,,,,,,,,,,,,,,,,,,,,,
23:00,,,,,,,,,,,,,,,,,,,,,,
0:00,,,,,,,,,,,,,,,,,,,,,,
1:00,,,t=28,,,,,,,,,,,,,,,,,,,
2:00,,,,,,,,,,,,,,,,,,,,,,
3:00,,,,,,,,,,,,,,,,,,,,,,
4:00,,,,,,,,,,,,,,,,,,,,,,
5:00,,t=8,,,,,,,,,,,,,,,,,,,,
6:00,,,,,,,,,,,,,,,,,,,,,,
